"Word"	"Pinyin"	"Level"	"First Translation"	"Other Translations"	"Parent"
"楚"	"chu3"	"4"	"surname Chu"	"abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together, Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC), distinct, clear, orderly, pain, suffering, deciduous bush used in Chinese medicine (genus Vitex), punishment cane (old)"	"清楚 (qīngchǔ)"
"清楚"	"qīngchǔ"	"4"	"clear"	"distinct, to understand thoroughly, to be clear about"	""
"無"	"wú"	"4"	"not to have"	"no, none, not, to lack, un-, -less"	"無聊 (wúliáo)"
"聊"	"liáo"	"4"	"to chat"	"to depend upon (literary), temporarily, just, slightly"	"無聊 (wúliáo)"
"無聊"	"wúliáo"	"4"	"bored"	"boring, senseless"	""
"遍"	"biàn"	"4"	"variant of 遍[bian4]"	"everywhere, all over, classifier for actions: one time"	""
"交"	"jiāo"	"4"	"to hand over"	"to deliver, to pay (money), to turn over, to make friends, to intersect (lines), variant of 跤[jiao1]"	""
"借"	"jiè"	"4"	"variant of 借[jie4]"	"surname Ji, to insult, to walk all over (sb), sleeping mat, to placate"	""
"辦法"	"bànfǎ"	"4"	"means"	"method, way (of doing sth), CL:條|条[tiao2],個|个[ge4]"	""
"方法"	"fāngfǎ"	"4"	"method"	"way, means, CL:個|个[ge4]"	""
"有用"	"yǒuyòng"	"4"	"useful"	""	""
"進步"	"jìnbù"	"4"	"progress"	"improvement, to improve, to progress, CL:個|个[ge4]"	""
"忘"	"wàng"	"4"	"to forget"	"to overlook, to neglect"	""
"寓"	"yu4"	"4"	"variant of 寓[yu4]"	""	"公寓 (gōngyù)"
"公寓"	"gōngyù"	"4"	"apartment building"	"block of flats, CL:套[tao4]"	""
"大樓"	"dàlóu"	"4"	"building (a relatively large, multi-storey one)"	"CL:幢[zhuang4],座[zuo4]"	""
"臥"	"wò"	"4"	"to lie"	"to crouch"	"臥室 (wòshì)"
"臥室"	"wòshì"	"4"	"bedroom"	"CL:間|间[jian1]"	""
"花園"	"huāyuán"	"4"	"garden"	"CL:座[zuo4],個|个[ge4]"	""
"門口"	"ménkǒu"	"4"	"doorway"	"gate, CL:個|个[ge4]"	""
"浴"	"yu4"	"4"	"bath"	"to bathe"	"浴室 (yùshì)"
"浴室"	"yùshì"	"4"	"bathroom (room used for bathing)"	"CL:間|间[jian1]"	""
"樓梯"	"lóutī"	"4"	"stair"	"staircase, CL:個|个[ge4]"	""
"牆"	"qiáng"	"4"	"wall"	"CL:面[mian4],堵[du3]"	""
"洗衣機"	"xǐyījī"	"4"	"washer"	"washing machine, CL:臺|台[tai2]"	""
"冰"	"bīng"	"4"	"variant of 冰[bing1]"	""	"冰箱 (bīngxiāng)"
"箱"	"xiāng"	"4"	"box"	"trunk, chest"	"冰箱 (bīngxiāng)"
"冰箱"	"bīngxiāng"	"4"	"icebox"	"freezer cabinet, refrigerator, CL:臺|台[tai2],個|个[ge4]"	""
"燈"	"dēng"	"4"	"lamp"	"light, lantern, CL:盞|盏[zhan3]"	""
"打開"	"dǎkāi"	"4"	"to open"	"to show (a ticket), to turn on, to switch on"	""
"盒"	"hé"	"4"	"small box"	"case"	"盒子 (hézi)"
"盒子"	"hézi"	"4"	"box"	"case"	""
"鄰"	"lin2"	"4"	"neighbor"	"adjacent, close to"	"鄰居 (línjū)"
"居"	"jū"	"4"	"surname Ju"	"(archaic) sentence-final particle expressing a doubting attitude, to reside, to be (in a certain position), to store up, to be at a standstill, residence, house, restaurant, classifier for bedrooms"	"鄰居 (línjū)"
"鄰居"	"línjū"	"4"	"neighbor"	"next door, CL:個|个[ge4]"	""
"鬧"	"nào"	"4"	"noisy"	"cacophonous, to make noise, to disturb, to vent (feelings), to fall ill, to have an attack (of sickness), to go in (for some activity), to joke"	"熱鬧 (rènao)"
"熱鬧"	"rènao"	"4"	"bustling with noise and excitement"	"lively"	""
"吵"	"chǎo"	"4"	"to quarrel"	"to make a noise, noisy, to disturb by making a noise"	""
"滿"	"măn"	"4"	"Manchu ethnic group"	"to fill, full, filled, packed, fully, completely, quite, to reach the limit, to satisfy, satisfied, contented"	"滿意 (mǎnyì)"
"滿意"	"mǎnyì"	"4"	"satisfied"	"pleased, to one's satisfaction"	""
"乾"	"gān"	"4"	"variant of 乾[qian2]"	"variant of 乾|干[gan1], to concern, to interfere, shield, stem"	"乾淨 (gānjìng)"
"淨"	"jìng"	"4"	"clean"	"completely, only, net (income, exports etc), (Chinese opera) painted face male role"	"乾淨 (gānjìng)"
"乾淨"	"gānjìng"	"4"	"clean"	"neat"	""
"租"	"zū"	"4"	"to hire"	"to rent, to charter, to rent out, to lease out, rent, land tax"	"房租 (fángzū)"
"房租"	"fángzū"	"4"	"rent for a room or house"	""	""
"開水"	"kāishuǐ"	"4"	"boiled water"	"boiling water"	""
"鄉"	"xiang1"	"4"	"country or countryside"	"native place, home village or town, township (PRC administrative unit)"	"鄉下 (xiāngxià)"
"鄉下"	"xiāngxià"	"4"	"countryside"	"rural area, CL:個|个[ge4]"	""
"森"	"sen1"	"4"	"Mori (Japanese surname)"	"forest"	"森林 (sēnlín)"
"林"	"lin2"	"4"	"surname Lin"	"Japanese surname Hayashi, woods, forest, CL:片[pian4], circle(s) (i.e. specific group of people), a collection (of similar things)"	"森林 (sēnlín)"
"森林"	"sēnlín"	"4"	"forest"	"CL:片[pian4]"	""
"草"	"cǎo"	"4"	"variant of 草[cao3]"	"grass, straw, manuscript, draft (of a document), careless, rough, CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1], variant of 肏[cao4]"	""
"枝"	"zhī"	"4"	"branch"	"classifier for sticks, rods, pencils etc"	""
"隻"	"zhī"	"4"	"classifier for birds and certain animals, one of a pair, some utensils, vessels etc"	""	""
"動物"	"dòngwù"	"4"	"animal"	"CL:隻|只[zhi1],群[qun2],個|个[ge4]"	""
"虎"	"hŭ"	"4"	"tiger"	"CL:隻|只[zhi1]"	""
"羊"	"yáng"	"4"	"surname Yang"	"sheep, goat, CL:頭|头[tou2],隻|只[zhi1]"	""
"豬"	"zhū"	"4"	"hog"	"pig, swine, CL:口[kou3],頭|头[tou2]"	""
"月亮"	"yuèliàng"	"4"	"the moon"	""	""
"星星"	"xīngxīng"	"4"	"star in the sky"	""	""
"雲"	"yún"	"4"	"surname Yun"	"abbr. for Yunnan Province 雲南省|云南省[Yun2 nan2 Sheng3], cloud, CL:朵[duo3]"	""
"地球"	"dìqiú"	"4"	"the earth"	"CL:個|个[ge4]"	""
"世"	"shì"	"4"	"surname Shi"	"life, age, generation, era, world, lifetime, epoch, descendant, noble"	"世界 (shìjiè)"
"界"	"jie4"	"4"	"boundary"	"scope, extent, circles, group, kingdom (taxonomy)"	"世界 (shìjiè)"
"世界"	"shìjiè"	"4"	"world"	"CL:個|个[ge4]"	""
"環"	"huan2"	"4"	"surname Huan"	"ring, hoop, loop, (chain) link, classifier for scores in archery etc, to surround, to encircle, to hem in"	"環境 (huánjìng)"
"境"	"jing4"	"4"	"border"	"place, condition, boundary, circumstances, territory"	"環境 (huánjìng)"
"環境"	"huánjìng"	"4"	"environment"	"circumstances, surroundings, CL:個|个[ge4], ambient"	""
"晴"	"qíng"	"4"	"clear"	"fine (weather)"	"晴天 (qíngtiān)"
"晴天"	"qíngtiān"	"4"	"clear sky"	"sunny day"	""
"暖"	"nuăn"	"4"	"variant of 暖[nuan3], warm"	""	"暖和 (nuǎnhuo)"
"暖和"	"nuǎnhuo"	"4"	"warm"	"nice and warm"	""
"涼"	"liáng"	"4"	"the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼|前凉 (314-376), Later Liang 後涼|后凉 (386-403), Northern Liang 北涼|北凉 (398-439), Southern Liang 南涼|南凉 (397-414), Western Liang 西涼|西凉 (400-421)"	"cool, cold, to let sth cool down"	"涼快 (liángkuài)"
"涼快"	"liángkuài"	"4"	"nice and cold"	"pleasantly cool"	""
"溫"	"wēn"	"4"	"surname Wen"	"warm, lukewarm, temperature, to warm up, mild, soft, tender, to review (a lesson etc), fever (TCM), old variant of 瘟[wen1]"	"溫暖 (wēnnuăn)"
"溫暖"	"wēnnuăn"	"4"	"warm"	""	""
"度"	"dù"	"4"	"to pass"	"to spend (time), measure, limit, extent, degree of intensity, degree (angles, temperature etc), kilowatt-hour, classifier for events and occurrences, to estimate, Taiwan pr. [duo4]"	""
"溫度"	"wēndù"	"4"	"temperature"	"CL:個|个[ge4]"	""
"空"	"kōng"	"4"	"empty"	"air, sky, in vain, to empty, vacant, unoccupied, space, leisure, free time"	"空氣 (kōngqì)"
"空氣"	"kōngqì"	"4"	"air"	"atmosphere"	""
"發生"	"fāshēng"	"4"	"to happen"	"to occur, to take place, to break out"	""
"發現"	"fāxiàn"	"4"	"to find"	"to discover"	""
"照顧"	"zhàogù"	"4"	"to take care of"	"to show consideration, to attend to, to look after"	""
"掃"	"săo"	"4"	"to sweep"	"broom"	"打掃 (dǎsǎo)"
"打掃"	"dǎsǎo"	"4"	"to clean"	"to sweep"	""
"起來"	"qǐlái"	"4"	"to stand up"	"to get up, also pr. [qi3 lai2], (after a verb) indicating the beginning and continuation of an action or a state, indicating an upward movement (e.g. after 站[zhan4]), bringing things together (e.g. after 收拾[shou1 shi5]), (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment, also pr. [qi3 lai5]"	""
"搬"	"bān"	"4"	"to move (i.e. relocate oneself)"	"to move (sth relatively heavy or bulky), to shift, to copy indiscriminately"	""
"掛"	"guà"	"4"	"to hang or suspend (from a hook etc)"	"to hang up (the phone), (of a line) to be dead, to be worried or concerned, to make a phone call (dialect), to register or record, classifier for sets or clusters of objects, (slang) to kill, to die, to be finished, to fail (an exam)"	""
"有空"	"yǒukòng"	"4"	"to have time (to do sth)"	""	""
"過年"	"guònián"	"4"	"to celebrate the Chinese New Year"	""	""
"束"	"shù"	"4"	"surname Shu"	"to bind, bunch, bundle, classifier for bunches, bundles, beams of light etc, to control"	"結束 (jiéshù)"
"結束"	"jiéshù"	"4"	"termination"	"to finish, to end, to conclude, to close"	""
"完"	"wán"	"4"	"to finish"	"to be over, whole, complete, entire"	""
"散"	"sàn"	"4"	"variant of 散[san4]"	"scattered, loose, to come loose, to fall apart, leisurely, powdered medicine, to scatter, to break up (a meeting etc), to disperse, to disseminate, to dispel, (coll.) to sack"	"散步 (sànbù)"
"散步"	"sànbù"	"4"	"to take a walk"	"to go for a walk"	""
"爬"	"pá"	"4"	"to crawl"	"to climb, to get up or sit up"	""
"跳"	"tiào"	"4"	"to jump"	"to hop, to skip over, to bounce, to palpitate"	""
"座"	"zuò"	"4"	"seat"	"base, stand, CL:個|个[ge4], classifier for buildings, mountains and similar immovable objects"	"座位 (zuòwèi)"
"位"	"wèi"	"4"	"position"	"location, place, seat, classifier for people (honorific), classifier for binary bits (e.g. 十六位 16-bit or 2 bytes), (physics) potential"	"座位 (zuòwèi)"
"座位"	"zuòwèi"	"4"	"seat"	"CL:個|个[ge4]"	""
"博"	"bo2"	"4"	"old variant of 博[bo2]"	""	"博物館 (bówùguăn)"
"博物館"	"bówùguăn"	"4"	"museum"	""	""
"節"	"jié"	"4"	"see 節骨眼|节骨眼[jie1 gu5 yan3]"	"festival, holiday, node, joint, section, segment, part, to economize, to save, to abridge, moral integrity, classifier for segments, e.g. lessons, train wagons, biblical verses, CL:個|个[ge4]"	"節目 (jiémù)"
"目"	"mu4"	"4"	"eye"	"item, section, list, catalogue, table of contents, order (taxonomy), goal, name, title"	"節目 (jiémù)"
"節目"	"jiémù"	"4"	"program"	"item (on a program), CL:臺|台[tai2],個|个[ge4],套[tao4]"	""
"聞"	"wén"	"4"	"surname Wen"	"to hear, news, well-known, famous, reputation, fame, to smell, to sniff at"	"新聞 (xīnwén)"
"新聞"	"xīnwén"	"4"	"news"	"CL:條|条[tiao2],個|个[ge4]"	""
"政"	"zheng4"	"4"	"political"	"politics, government"	"政治 (zhèngzhì)"
"治"	"zhì"	"4"	"to rule"	"to govern, to manage, to control, to harness (a river), to treat (a disease), to wipe out (a pest), to punish, to research"	"政治 (zhèngzhì)"
"政治"	"zhèngzhì"	"4"	"politics"	"political"	""
"育"	"yu4"	"4"	"to have children"	"to raise or bring up, to educate"	"體育 (tǐyù)"
"體育"	"tǐyù"	"4"	"sports"	"physical education"	""
"網站"	"wǎngzhàn"	"4"	"website"	"network station, node"	""
"經常"	"jīngcháng"	"4"	"frequently"	"constantly, regularly, often, day-to-day, everyday, daily"	""
"平"	"píng"	"4"	"surname Ping"	"flat, level, equal, to tie (make the same score), to draw (score), calm, peaceful, see also 平聲|平声[ping2 sheng1]"	"平常 (píngcháng)"
"平常"	"píngcháng"	"4"	"ordinary"	"common, usually, ordinarily"	""
"總"	"zǒng"	"4"	"always"	"to assemble, gather, total, overall, head, chief, general, in every case"	"總是 (zǒngshì)"
"總是"	"zǒngshì"	"4"	"always"	""	""
"已"	"yĭ"	"4"	"already"	"to stop, then, afterwards"	"已經 (yǐjīng)"
"已經"	"yǐjīng"	"4"	"already"	""	""
"各"	"gè"	"4"	"each"	"every"	""
"雜"	"zá"	"4"	"mixed"	"miscellaneous, various, to mix"	"雜誌 (zázhì)"
"誌"	"zhi4"	"4"	"sign"	"mark, to record, to write a footnote"	"雜誌 (zázhì)"
"雜誌"	"zázhì"	"4"	"magazine"	"CL:本[ben3],份[fen4],期[qi1]"	""
"章"	"zhāng"	"4"	"surname Zhang"	"chapter, section, clause, movement (of symphony), seal, badge, regulation, order"	"文章 (wénzhāng)"
"文章"	"wénzhāng"	"4"	"article"	"essay, literary works, writings, hidden meaning, CL:篇[pian1],段[duan4],頁|页[ye4]"	""
"故"	"gù"	"4"	"happening"	"instance, reason, cause, intentional, former, old, friend, therefore, hence, (of people) to die, dead"	"故事 (gùshi)"
"故事"	"gùshi"	"4"	"old practice"	"CL:個|个[ge4], narrative, story, tale"	""
"小說"	"xiǎoshuō"	"4"	"novel"	"fiction, CL:本[ben3],部[bu4]"	""
"術"	"shu4 zhu2"	"4"	"method"	"technique, various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea"	"美術 (měishù)"
"美術"	"měishù"	"4"	"art"	"fine arts, painting, CL:種|种[zhong3]"	""
"藝"	"yi4"	"4"	"skill"	"art"	"藝術 (yìshù)"
"藝術"	"yìshù"	"4"	"art"	""	""
"興趣"	"xìngqù"	"4"	"interest (desire to know about sth)"	"interest (thing in which one is interested), hobby, CL:個|个[ge4]"	""
"收"	"shōu"	"4"	"to receive"	"to accept, to collect, to put away, to restrain, to stop, in care of (used on address line after name)"	""
"談"	"tán"	"4"	"surname Tan"	"to speak, to talk, to converse, to chat, to discuss"	""
"聊天"	"liáotiān"	"4"	"to chat"	"to gossip"	""
"遲"	"chí"	"4"	"surname Chi"	"late, delayed, slow"	"遲到 (chídào)"
"遲到"	"chídào"	"4"	"to arrive late"	""	""
"後來"	"hòulái"	"4"	"afterwards"	"later"	""
"變"	"biàn"	"4"	"to change"	"to become different, to transform, to vary, rebellion"	""
"舞"	"wŭ"	"4"	"to dance"	"to wield, to brandish"	"跳舞 (tiàowǔ)"
"跳舞"	"tiàowǔ"	"4"	"to dance"	""	""
"器"	"qi4"	"4"	"device"	"tool, utensil, CL:臺|台[tai2]"	"樂器 (yuèqì)"
"樂器"	"yuèqì"	"4"	"musical instrument"	"CL:件[jian4]"	""
"吉"	"ji2"	"4"	"surname Ji"	"abbr. for Jilin Province 吉林省[Ji2 lin2 Sheng3], lucky, giga- (meaning billion or 10^9)"	"吉他 (jítā)"
"吉他"	"jítā"	"4"	"guitar (loanword)"	"CL:把[ba3]"	""
"鋼"	"gāng"	"4"	"steel"	""	"鋼琴 (gāngqín)"
"琴"	"qín"	"4"	"variant of 琴[qin2], guqin or zither"	""	"鋼琴 (gāngqín)"
"鋼琴"	"gāngqín"	"4"	"piano"	"CL:架[jia4],臺|台[tai2]"	""
"可怕"	"kěpà"	"4"	"awful"	"dreadful, fearful, formidable, frightful, scary, hideous, horrible, terrible, terribly"	""
"活動"	"huódòng"	"4"	"to exercise"	"to move about, to operate, to use connections (personal influence), loose, shaky, active, movable, activity, campaign, maneuver, behavior, CL:項|项[xiang4],個|个[ge4]"	""
"就"	"jiù"	"4"	"at once"	"right away, only, just (emphasis), as early as, already, as soon as, then, in that case, as many as, even if, to approach, to move towards, to undertake, to engage in, to suffer, subjected to, to accomplish, to take advantage of, to go with (of foods), with regard to, concerning"	""
"消"	"xiāoyè"	"4"	"to disappear"	"to vanish, to eliminate, to spend (time), have to, need"	"消息 (xiāoxí)"
"消息"	"xiāoxí"	"4"	"news"	"information, CL:條|条[tiao2]"	""
"又"	"yòu"	"4"	"(once) again"	"also, both... and..., and yet, (used for emphasis) anyway"	""
"客人"	"kèrén"	"4"	"visitor"	"guest, customer, client, CL:位[wei4]"	""
"不好意思"	"bùhǎoyìsi"	"4"	"to feel embarrassed"	"to find it embarrassing, to be sorry (for inconveniencing sb)"	""
"怎麼了"	"zěnmele"	"4"	"What's up?"	"What's going on?, What happened?"	""
"怎麼辦"	"zěnmebàn"	"4"	"what's to be done"	""	""
"客氣"	"kèqi"	"4"	"polite"	"courteous, formal, modest"	""
"舞會"	"wŭhuì"	"4"	"dance"	"ball, party, CL:場|场[chang3]"	""
"最近"	"zuìjìn"	"4"	"recently"	"soon, nearest"	""
"請客"	"qǐngkè"	"4"	"to give a dinner party"	"to entertain guests, to invite to dinner"	""
"慶"	"qing4"	"4"	"to celebrate"	""	"慶祝 (qìngzhù)"
"祝"	"zhù"	"4"	"surname Zhu"	"to wish, to express good wishes, to pray, (old) wizard"	"慶祝 (qìngzhù)"
"慶祝"	"qìngzhù"	"4"	"to celebrate"	""	""
"聽說"	"tīngshuō"	"4"	"to hear (sth said)"	"one hears (that), hearsay, listening and speaking"	""
"感謝"	"gǎnxiè"	"4"	"(express) thanks"	"gratitude, grateful, thankful, thanks"	""
"見面"	"jiànmiàn"	"4"	"to meet"	"to see each other, CL:次[ci4]"	""
"約"	"yuē"	"4"	"to weigh in a balance or on a scale"	"to make an appointment, to invite, approximately, pact, treaty, to economize, to restrict, to reduce (a fraction), concise"	""
"事情"	"shìqíng"	"4"	"affair"	"matter, thing, business, CL:件[jian4],樁|桩[zhuang1]"	""
"明信片"	"míngxìnpiàn"	"4"	"postcard"	""	""
"卡"	"kă"	"4"	"to stop"	"to block, (computing) (coll.) slow, (loanword) card, CL:張|张[zhang1],片[pian4], truck (from ""car""), calorie (abbr. for 卡路里[ka3 lu4 li3]), cassette, to block, to be stuck, to be wedged, customs station, a clip, a fastener, a checkpost, Taiwan pr. [ka3]"	"卡片 (kǎpiàn)"
"卡片"	"kǎpiàn"	"4"	"card"	""	""
"弄"	"nòng"	"4"	"variant of 弄[long4]"	"variant of 巷[xiang4]"	""
"檢"	"jian3"	"4"	"to check"	"to examine, to inspect, to exercise restraint"	"檢查 (jiǎnchá)"
"查"	"chá"	"4"	"surname Zha"	"to research, to check, to investigate, to examine, to refer to, to look up (e.g. a word in a dictionary), see 山查[shan1 zha1]"	"檢查 (jiǎnchá)"
"檢查"	"jiǎnchá"	"4"	"inspection"	"to examine, to inspect, CL:次[ci4]"	""
"通"	"tōng"	"4"	"to go through"	"to know well, (suffix) expert, to connect, to communicate, open, to clear, classifier for letters, telegrams, phone calls etc, classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)"	"通知 (tōngzhī)"
"通知"	"tōngzhī"	"4"	"to notify"	"to inform, notice, notification, CL:個|个[ge4]"	""
"麻"	"má"	"4"	"variant of 麻[ma2]"	"hemp, surname Ma, generic name for hemp, flax etc, hemp or flax fiber for textile materials, sesame, CL:縷|缕[lu:3], (of materials) rough or coarse, pocked, pitted, to have pins and needles or tingling, to feel numb"	"麻煩 (máfan)"
"煩"	"fán"	"4"	"to feel vexed"	"to bother, to trouble, superfluous and confusing, edgy"	"麻煩 (máfan)"
"麻煩"	"máfan"	"4"	"inconvenient"	"troublesome, annoying, to trouble or bother sb, to put sb to trouble"	""
"偷"	"tōu"	"4"	"to steal"	"to pilfer, to snatch, thief, stealthily"	""
"錢包"	"qiánbāo"	"4"	"purse"	"wallet"	""
"拉"	"lā"	"4"	"to pull"	"to play (a bowed instrument), to drag, to draw, to chat"	""
"小偷"	"xiǎotōu"	"4"	"thief"	""	""
"丟"	"diū"	"4"	"to lose"	"to put aside, to throw"	""
"啊"	"ā"	"4"	"interjection of surprise"	"Ah!, Oh!, interjection expressing doubt or requiring answer, Eh?, what?, interjection of surprise or doubt, Eh?, My!, what's up?, interjection or grunt of agreement, uhm, Ah, OK, expression of recognition, Oh, it's you!, modal particle ending sentence, showing affirmation, approval, or consent"	""
"汽車"	"qìchē"	"4"	"car"	"automobile, bus, CL:輛|辆[liang4]"	""
"輛"	"liàng"	"4"	"classifier for vehicles"	""	""
"船"	"chuán"	"4"	"variant of 船[chuan2]"	"boat, vessel, ship, CL:條|条[tiao2],艘[sou1],隻|只[zhi1]"	""
"停"	"tíng"	"4"	"to stop"	"to halt, to park (a car)"	"停車場 (tíngchēchăng)"
"停車場"	"tíngchēchăng"	"4"	"parking lot"	"car park"	""
"搭"	"dā"	"4"	"to put up"	"to build (scaffolding), to hang (clothes on a pole), to connect, to join, to arrange in pairs, to match, to add, to throw in (resources), to take (boat, train), variant of 褡[da1]"	""
"起飛"	"qĭfēi"	"4"	"(of an aircraft) to take off"	""	""
"出來"	"chūlái"	"4"	"to come out"	"to appear, to arise, (after a verb, indicates coming out, completion of an action, or ability to discern or detect)"	""
"進去"	"jìnqù"	"4"	"to go in"	""	""
"回去"	"huíqu"	"4"	"to return"	"to go back"	""
"路口"	"lùkǒu"	"4"	"crossing"	"intersection (of roads)"	""
