"Pinyin","AllWords","Definitions"
"hǎiyáng","海洋","海洋 ocean, CL:個|个[ge4]"
"hàipà","害怕","害怕 to be afraid, to be scared"
"hángkōng","航空","航空 aviation"
"hǎochù","好處","好處 benefit, advantage, gain, profit, also pr. [hao3 chu4], CL:個|个[ge4]"
"hǎohǎo","好好","好好 well, carefully, nicely, properly"
"hǎojǐ","好幾","好幾 several, quite a few"
"hǎole","好了","好了 "
"hǎoxiē","好些","好些 a good deal of, quite a lot"
"héchàng","合唱","合唱 chorus, to chorus"
"hézuò","合作","合作 to cooperate, to collaborate, to work together, cooperation, CL:個|个[ge4]"
"hèn","恨","恨 to hate, to regret"
"hènbude","恨不得","恨不得 wishing one could do sth, to hate to be unable, itching to do sth"
"hóngbāo","紅包","紅包 money wrapped in red as a gift, bonus payment, kickback, bribe"
"hóngdòu","紅豆","紅豆 azuki bean, red bean"
"hòu","厚","厚 thick, deep or profound, kind, generous, rich or strong in flavor, to favor, to stress"
"hūrán","忽然","忽然 suddenly, all of a sudden"
"hútú","糊塗","糊塗 muddled, silly, confused"
"hùxiāng","互相","互相 each other, mutually, mutual"
"huāxīn","花心","花心 fickle (in love affairs), dissipated, unfaithful, heart of a flower (pistil and stamen)"
"huáxuě","滑雪","滑雪 to ski, skiing"
"huàjiā","畫家","畫家 painter, CL:個|个[ge4]"
"huàshuōhuílái","話說回來","話說回來 returning to our main topic,..., that said,..., again,..., in this connection, in passing, nevertheless,..., anyhow"
"huàtí","話題","話題 subject (of a talk or conversation), topic"
"huàzhuāngpǐn","化妝品","化妝品 cosmetic, makeup product"
"huàichù","壞處","壞處 harm, troubles, CL:個|个[ge4]"
"huánbǎo","環保","環保 environmental protection, environmentally friendly, abbr. for 環境保護|环境保护[huan2 jing4 bao3 hu4]"
"huíxiǎng","回想, 迴","回想 to recall, to recollect, to think back
迴 to curve, to return, to revolve"
"huìchǎng","會場","會場 meeting place, place where people gather, CL:個|个[ge4]"
"huìhuà","會話, 繪畫","會話 conversation, CL:個|个[ge4],次[ci4]
繪畫 drawing, painting"
"huìyì","會議, 會意","會議 meeting, conference, CL:場|场[chang3],屆|届[jie4]
會意 combined ideogram (one of the Six Methods 六書|六书[liu4 shu1] of forming Chinese characters), Chinese character that combines the meanings of existing elements, also known as joint ideogram or associative compounds, to comprehend without being told explicitly, to cotton on, knowing (smile, glance etc)"
"hūnlǐ","婚禮","婚禮 wedding ceremony, wedding, CL:場|场[chang3]"
"hūnyīn","婚姻","婚姻 matrimony, wedding, marriage, CL:樁|桩[zhuang1],次[ci4]"
"hùnluàn","混亂","混亂 confusion, chaos, disorder"
"huòxǔ","或許","或許 perhaps, maybe"
"jīběn","基本","基本 basic, fundamental, main, elementary"
"jīchǔ","基礎","基礎 base, foundation, basis, underlying, CL:個|个[ge4]"
"jīdūjiào","基督教","基督教 Christianity, Christian"
"jīdòng","激動, 機動","激動 to move emotionally, to stir up (emotions), to excite
機動 locomotive, motorized, power-driven, adaptable, flexible (use, treatment, timing etc)"
"jīliè","激烈","激烈 intense, acute, fierce"
"jījí","積極","積極 active, energetic, vigorous, positive (outlook), proactive"
"jīqì","機器","機器 machine, CL:臺|台[tai2],部[bu4],個|个[ge4]"
"jí","及, 集","及 and, to reach, up to, in time for
集 to gather, to collect, collected works, classifier for sections of a TV series etc: episode"
"jíle","極了","極了 extremely, exceedingly"
"jìlù","記錄","記錄 to record, record (written account), note-taker, record (in sports etc), CL:個|个[ge4]"
"jìyì","記憶, 技藝","記憶 to remember, to recall, memory, CL:個|个[ge4]
技藝 skill, art"
"jìjié","季節","季節 time, season, period, CL:個|个[ge4]"
"jìniàn","紀念","紀念 to commemorate, to remember, CL:個|个[ge4]"
"jìqiǎo","技巧","技巧 skill, technique"
"jìxù","繼續","繼續 to continue, to proceed with, to go on with"
"jiāqiáng","加強","加強 to reinforce, to strengthen, to increase"
"jiārù","加入","加入 to become a member, to join, to mix into, to participate in, to add in"
"jiāshàng","加上","加上 plus, to put in, to add, to add on, to add into, in addition, on top of that"
"jiāyóu","加油","加油 to add oil, to top up with gas, to refuel, to accelerate, to step on the gas, (fig.) to make an extra effort, to cheer sb on"
"jiāxiāng","家鄉","家鄉 hometown, native place, CL:個|个[ge4]"
"jiāzhǎng","家長","家長 head of a household, family head, patriarch, parent or guardian of a child"
"jiǎrú","假如","假如 if"
"jiǎzhuāng","假裝","假裝 to feign, to pretend"
"jiàrì","假日","假日 holiday, non-working day"
"jiàzhí","價值","價值 value, worth, fig. values (ethical, cultural etc), CL:個|个[ge4]"
"jiānbǎng","肩膀","肩膀 shoulder"
"jiānchí","堅持","堅持 to persevere with, to persist in, to insist on"
"jiānqiáng","堅強","堅強 staunch, strong"
"jiǎnqīng","減輕","減輕 to lighten, to ease, to alleviate"
"jiǎnshǎo","減少","減少 to lessen, to decrease, to reduce, to lower"
"jiǎnzhí","簡直","簡直 simply, at all, practically"
"jiànlì","建立","建立 to establish, to set up, to found"
"jiànshè","建設","建設 to build, to construct, construction, constructive"
"jiànyì","建議","建議 to propose, to suggest, to recommend, proposal, suggestion, recommendation, CL:個|个[ge4],點|点[dian3]"
"jiānglái","將來","將來 in the future, future, the future, CL:個|个[ge4]"
"jiǎngjià","講價","講價 to bargain (over price), to haggle"
"jiǎngjiu","講究","講究 to pay particular attention to, carefully selected for quality, tastefully chosen"
"jiǎngxuéjīn","獎學金","獎學金 scholarship, CL:個|个[ge4]"
"jiàngdī","降低","降低 to reduce, to lower, to bring down"
"jiàngyóu","醬油","醬油 soy sauce"
"jiāoliú","交流","交流 to exchange, exchange, communication, interaction, to have social contact (with sb)"
"jiāoyǒu","交友","交友 to make friends"
"jiāoào","驕傲","驕傲 pride, arrogance, conceited, proud of sth"
"jiāoqū","郊區","郊區 suburban district, outskirts, suburbs, CL:個|个[ge4]"
"jiǎodù","角度","角度 angle, point of view"
"jiǎo","角色, 繳","角色 role, character in a novel, persona, also pr. [jiao3 se4]
繳 to hand in, to hand over, to seize"
"jiàocái","教材","教材 teaching material, CL:本[ben3]"
"jiàodǎo","教導","教導 to instruct, to teach, guidance, teaching"
"jiàofǎ","教法","教法 teaching method, teachings, doctrine"
"jiàoliàn","教練","教練 instructor, sports coach, trainer, CL:個|个[ge4],位[wei4],名[ming2]"
"jiàoshòu","教授","教授 professor, to instruct, to lecture on, CL:個|个[ge4],位[wei4]"
"jiàoxun","教訓","教訓 lesson, moral, to chide sb, to lecture sb"
"jiàoyù","教育","教育 to educate, to teach, education"
"jiēchù","接觸","接觸 to touch, to contact, access, in touch with"
"jiēshòu","接受","接受 to accept, to receive"
"jiēzhe","接著","接著 to catch and hold on, to continue, to go on to do sth, to follow, to carry on, then, after that, subsequently, to proceed, to ensue, in turn, in one's turn"
"jiéguǒ","結果","結果 to bear fruit, outcome, result, conclusion, in the end, as a result, to kill, to dispatch, CL:個|个[ge4]"
"jiéjú","結局","結局 conclusion, ending"
"jiérì","節日","節日 holiday, festival, CL:個|个[ge4]"
"jiějué","解決","解決 to settle (a dispute), to resolve, to solve, to dispose of, to dispatch"
"jiěmèi","姊妹","姊妹 (older and younger) sisters, sister (school, city etc)"
"jǐn","僅","僅 barely, only, merely"
"jǐnguǎn","儘管","儘管 despite, although, even though, in spite of, unhesitatingly, do not hesitate (to ask, complain etc), (go ahead and do it) without hesitating"
"jìn","盡, 浸, 勁","盡 to use up, to exhaust, to end, to finish, to the utmost, exhausted, finished, to the limit (of sth), all, entirely
浸 to immerse, to soak, to steep, gradually
勁 strength, energy, enthusiasm, spirit, mood, expression, interest, stalwart, sturdy, strong, powerful, CL:把[ba3]"
"jìnxíng","進行","進行 to advance, to conduct, underway, in progress, to do, to carry out, to carry on, to execute"
"jìnyíbù","進一步","進一步 one step further, to move forward a step, further onwards"
"jīngfèi","經費","經費 funds, expenditure, CL:筆|笔[bi3]"
"jīngshén","精神","精神 spirit, mind, consciousness, thought, mental, psychological, essence, gist, vigor, vitality, drive, spiritual, CL:個|个[ge4]"
"jīngyà","驚訝","驚訝 amazed, astonished, to surprise, amazing, astonishment, awe"
"jiǔbā","酒吧","酒吧 bar, pub, saloon, CL:家[jia1]"
"jiùjiu","舅舅","舅舅 mother's brother, maternal uncle (informal), CL:個|个[ge4]"
"jiùmā","舅媽","舅媽 (coll.) aunt, maternal uncle's wife"
"jiùshì","就是","就是 (emphasizes that sth is precisely or exactly as stated), precisely, exactly, even, if, just like, in the same way as"
"jiùsuàn","就算","就算 granted that, even if"
"jiùyào","就要","就要 will, shall, to be going to"
"jūzhù","居住","居住 to reside, to dwell, to live in a place, resident in"
"júzi","橘子","橘子 tangerine, CL:個|个[ge4],瓣[ban4]"
"jǔ","舉","舉 to lift, to hold up, to cite, to enumerate, to act, to raise, to choose, to elect, act, move, deed"
"jǔbàn","舉辦","舉辦 to conduct, to hold"
"jǔshǒu","舉手","舉手 to raise a hand, to put up one's hand (as signal)"
"jǔxíng","舉行","舉行 to hold (a meeting, ceremony etc)"
"jù","聚","聚 to congregate, to assemble, to mass, to gather together, to amass, to polymerize"
"jùběn","劇本","劇本 script for play, opera, movie etc, screenplay, scenario"
"jùqíng","劇情","劇情 story line, plot"
"jùjué","拒絕","拒絕 to refuse, to decline, to reject"
"jùlí","距離","距離 distance, to be apart from, CL:個|个[ge4]"
"jùyǒu","具有","具有 to have, to possess"
"juéduì","絕對","絕對 absolute, unconditional"
"jūnduì","軍隊","軍隊 army, troops, CL:支[zhi1],個|个[ge4]"
"jūnrén","軍人","軍人 serviceman, soldier, military personnel"
"kǎchē","卡車","卡車 truck, CL:輛|辆[liang4]"
"kāifàng","開放","開放 to bloom, to open, to be open (to the public), to open up (to the outside), to be open-minded, unrestrained by convention, unconstrained in one's sexuality"
"kāihuā","開花","開花 to bloom, to blossom, to flower, fig. to burst open, to feel happy or elated, new development grows out"
"kāilǎng","開朗","開朗 spacious and well-lit, open and clear, (of character) optimistic, cheerful, carefree"
"kāiwánxiào","開玩笑","開玩笑 to play a joke, to make fun of, to joke"
"kànbuqǐ","看不起","看不起 to look down upon, to despise"
"kànfǎ","看法","看法 way of looking at a thing, view, opinion, CL:個|个[ge4]"
"kànqǐlái","看起來","看起來 seemingly, apparently, looks as if, appear to be, gives the impression that, seems on the face of it to be"
"kē","棵, 顆","棵 classifier for trees, cabbages, plants etc
顆 classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
"kè","刻","刻 quarter (hour), moment, to carve, to engrave, to cut, oppressive, classifier for short time intervals"
"kējì","科技","科技 science and technology"
"kěkào","可靠","可靠 reliable"
"kělè","可樂","可樂 amusing, entertaining, (loanword) cola"
"kěwù","可惡","可惡 repulsive, vile, hateful, abominable"
"kěxí","可惜","可惜 it is a pity, what a pity, unfortunately"
"kěwàng","渴望, 可望","渴望 to thirst for, to long for
可望 can be expected (to), to be expected (to), hopefully (happening)"
"kèfú","克服","克服 (try to) overcome (hardships etc), to conquer, to put up with, to endure"
"kèchéng","課程","課程 course, academic program, CL:堂[tang2],節|节[jie2],門|门[men2]"
"kètáng","課堂","課堂 classroom, CL:間|间[jian1]"
"kèwén","課文","課文 text, CL:篇[pian1]"
"kèmǎn","客滿","客滿 to have a full house, to be sold out, no vacancy"
"kěn","肯","肯 to agree, to consent, to be ready (to do sth), willing, old variant of 肯[ken3]"
"kěndìng","肯定","肯定 to be certain, to be positive, assuredly, definitely, to give recognition, to affirm, affirmative (answer)"
"kōngjiān","空間","空間 space, room, (fig.) scope, leeway, (astronomy) outer space, (physics, math.) space"
"kōngjūn","空軍","空軍 air force"
"kǒngpà","恐怕","恐怕 fear, to dread, I'm afraid that..., perhaps, maybe"
"kǒudài","口袋","口袋 pocket, bag, sack, CL:個|个[ge4]"
"kǒuwèi","口味","口味 a person's preferences, tastes (in food), flavor"
"kuāzhāng","誇張","誇張 to exaggerate, overstated, exaggerated, hyperbole, (coll.) excessive, ridiculous, outrageous"
